exercise_name,exercise_url,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers,Antagonist      Stabilizers,Dynamic      Stabilizers,Stabilizers (Raised Leg),Stabilizers (Raised Arms),Stabilizers (see comments),Stabilizers (raised leg),Target (see comments),Stabilizers (near arm),Stabilizers (far arm),Synergists (Neck),Synergists / Stabilizers (Spine),Stabilizers (Other),Synergists (Spine),Synergists / Stabilizers (Hips),Target (see comments),Target(See Comments),Synergists (see comments),Target (See Comments),Stabilizers (raised arms),Antagonist Stabilizers (see comment),​​​​​​​Stabilizers,Stabilizers (see comments),Antagonist Stabilizers (see comments)
Single Leg Squat (pistol),https://exrx.net/WeightExercises/GluteusMaximus/BWSingleLegSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Erector Spinae (see notes); Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,Rectus Abdominis; Obliques,,,,,,Iliopsoas; Tensor Fasciae Latae; Pectineus; Sartorius; Quadriceps,,,,,,,,,,,,,,,,,
Single Leg Box Squat (pistol),https://exrx.net/WeightExercises/GluteusMaximus/BWSingleLegBoxSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,Rectus Abdominis; Obliques,,,Iliopsoas; Tensor Fasciae Latae; Pectineus; Sartorius; Quadriceps,,,,,,,,,,,,,,,,,,,,
Single Leg Stiff-leg Deadlift,https://exrx.net/WeightExercises/GluteusMaximus/BWSingleLegStiffLegDeadlift,Gluteus Maximus        (supporting leg),Hamstrings; Adductor Magnus,,Erector Spinae; Quadriceps; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques; Gluteus Maximus        (lifted leg),,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Split Squat,https://exrx.net/WeightExercises/GluteusMaximus/BWSplitSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,Gluteus Medius; Gluteus Minimus,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Single Leg Split Squat,https://exrx.net/WeightExercises/GluteusMaximus/BWSingleLegSplitSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Gluteus Medius; Gluteus Minimus,,,,,,,,,,,,,,,,,,,,,,,,
Squat,https://exrx.net/WeightExercises/GluteusMaximus/BWSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Step-up,https://exrx.net/WeightExercises/GluteusMaximus/BWStepUp,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus; Gastrocnemius        (Second Leg),,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius        (First Leg),,,,,,,,,,,,,,,,,,,,,
Step-down,https://exrx.net/WeightExercises/GluteusMaximus/BWStepDown,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus; Gastrocnemius        (following leg),,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius        (lead leg),,,,,,,,,,,,,,,,,,,,,
Self-assisted Single Leg Squat (leg wrapped),https://exrx.net/WeightExercises/GluteusMaximus/AsSingleLegSquatLegSelf,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques; Rectus Abdominis,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Self-assisted Step-down,https://exrx.net/WeightExercises/GluteusMaximus/ASStepDownSelf,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus; Gastrocnemius        (following leg),,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius        (lead leg),,,,,,,,,,,,,,,,,,,,,
Suspended Hip Bridge,https://exrx.net/WeightExercises/GluteusMaximus/STHipBridge,Gluteus Maximus,,,Erector Spinae; Hamstrings; Sartorius; Popliteus; Gastrocnemius,,Rectus Abdominis; Obliques; Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,
Suspended Single Leg Squat,https://exrx.net/WeightExercises/GluteusMaximus/STSingleLegSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus; Erector Spinae (see notes),Hamstrings; Gastrocnemius,"Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques; Rectus Abdominis; Trapezius, Middle; Rhomboids",,,,,,,Iliopsoas; Tensor Fasciae Latae; Pectineus; Sartorius; Quadriceps,,,,,,,,,,,,,,,,,
Suspended Single Leg Split Squat,https://exrx.net/WeightExercises/GluteusMaximus/STSplitSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Cable Hip Abduction,https://exrx.net/WeightExercises/HipAbductor/CBHipAbduction,Hip Abductors (listed below),Gluteus Medius; Gluteus Minimus; Tensor Fasciae          Latae,,Hip Abductors (opposite),,,,,,,,,,,,,,,,,,,,,,,,
Cable Seated Hip Internal Rotation,https://exrx.net/WeightExercises/HipAbductor/CBSeatedHipInternalRotation,Hip Internal Rotators (listed below),Gluteus Medius; Gluteus Minimus; Tensor Fasciae Latae; Piriformis,,Gluteus Medius; Gluteus Minimus; Tensor Fasciae Latae; Gluteus Maximus (opposite leg only),,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Lying Hip Abduction,https://exrx.net/WeightExercises/HipAbductor/DBLyingHipAbduction,Hip Abductors (listed below),Tensor Fasciae          Latae; Gluteus Medius; Gluteus Minimus,,Hip Abductors (opposite),,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Hip Abduction (plate loaded),https://exrx.net/WeightExercises/HipAbductor/LVSeatedHipAbductionH,Hip Abductors (listed below),Gluteus Medius; Gluteus Minimus; Gluteus Maximus; Piriformis; Obturator        externus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Hip Abduction,https://exrx.net/WeightExercises/HipAbductor/LVSeatedHipAbduction,Hip Abductors (listed below),Gluteus Medius; Gluteus Minimus; Gluteus Maximus; Piriformis; Obturator        externus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Standing Hip Abduction,https://exrx.net/WeightExercises/HipAbductor/LVStandHipAbduction,Hip Abductors (listed below),Tensor Fasciae        Latae; Gluteus Medius; Gluteus Minimus,,Hip Abductors (opposite),,,,,,,,,,,,,,,,,,,,,,,,
Weighted Lying Hip Abduction,https://exrx.net/WeightExercises/HipAbductor/WtLyingHipAbduction,Hip Abductors (listed below),Tensor Fasciae          Latae; Gluteus Medius; Gluteus Minimus,,Hip Abductors (opposite),,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Push Pull,https://exrx.net/WeightExercises/Power/CBPushPull,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Twist,https://exrx.net/WeightExercises/Obliques/CBTwist,,"Tensor fasciae latae; Gluteus medius; Gluteus minimus, anterior fibers; Adductors, Hip; Psoas major; Quadratus lumborum; Iliocastalis lumborum; Iliocastalis thoracis",,"Rectus Abdominis; Erector Spinae; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Pectoralis Minor; Trapezius, Middle; Trapezius, Lower; Rhomboids; Deltoid, Lateral; Deltoid, Posterior; Triceps; Coracobrachialis",,,,,,,,Obliques,,,,,,,,,,,,,,,,
Side Bridge Hip Abduction,https://exrx.net/WeightExercises/HipAbductor/BWSideBridgeHipAbduction,Tensor Fasciae Latae; Gluteus Medius; Gluteus Minimus,Obliques; Quadratus lumborum; Psoas major; Iliocastalis lumborum; Iliocastalis thoracis,,Latissimus dorsi; Coracobrachialis; Pectoralis minor; Levator Scapulae,,,,,,,,,,,,,,,,,,,,,,,,
Suspended Hip Abduction,https://exrx.net/WeightExercises/HipAbductor/STHipAbduction,Hip Abductors (listed below),Tensor Fasciae        Latae; Gluteus Medius; Gluteus Minimus,,Gluteus Maximus; Hamstrings; Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,,
Suspended Side Bend,https://exrx.net/WeightExercises/Obliques/STSideBend,Obliques,"Quadratus lumborum; Psoas major; Iliocastalis lumborum; Iliocastalis thoracis; Gluteus Medius; Gluteus Minimus; Tensor Fasciae Latae; Adductors, Hip; Pectineus; Gracilis; Gluteus Maximus, Lower Fibers",,,,,,,,,,,"Deltoid, Anterior; Deltoid, Lateral; Supraspinatus; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations; Brachialis; Brachioradialis; Biceps Brachii; Coracobrachialis; Wrist Flexors","Latissimus Dorsi; Teres Major; Rhomboids; Levator Scapulae; Triceps, Long Head",,,,,,,,,,,,,,
Cable Lying Leg Raise (on bench),https://exrx.net/WeightExercises/HipFlexors/CBLyingLegRaiseBench,Iliopsoas,Tensor Fasciae        Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,,Rectus Abdominis; Obliques,,,Rectus Femoris,,,,,,,,,,,,,,,,,,,,,
Cable Lying Straight Leg Raise,https://exrx.net/WeightExercises/HipFlexors/CBLyingStraightLegRaise,Iliopsoas,Tensor Fasciae        Latae; Sartorius; Pectineus; Rectus Femoris; Adductor Longus; Adductor Brevis,,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Cable Standing Leg Raise,https://exrx.net/WeightExercises/HipFlexors/CBStandingLegRaise,Iliopsoas,Tensor Fasciae        Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,,Rectus Abdominis; Obliques; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum,,,Rectus Femoris,,,,,,,,,,,,,,,,,,,,,
Lever Hip Flexion,https://exrx.net/WeightExercises/HipFlexors/LVHipFlexion,Iliopsoas,Tensor Fasciae        Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,,Rectus Abdominis; Obliques; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum,,,Rectus Femoris,,,,,,,,,,,,,,,,,,,,,
Lever Vertical Leg Raise,https://exrx.net/WeightExercises/HipFlexors/LVVerticalLegRaise,Iliopsoas,Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,,"Rectus Abdominis; Obliques; Pectoralis Minor; Pectoralis Major, Sternal; Deltoid, Anterior; Triceps Brachii; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Weighted Decline Sit-up,https://exrx.net/WeightExercises/HipFlexors/WtDeclineSitup,Iliopsoas,Tensor Fasciae        Latae; Rectus Femoris; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Hanging Leg Raise,https://exrx.net/WeightExercises/HipFlexors/WtHangLegRaise,Iliopsoas,Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,Rectus Femoris,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Incline Leg Raise,https://exrx.net/WeightExercises/HipFlexors/WtInclineLegRaise,Iliopsoas,Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,Rectus Femoris,"Rectus Abdominis; Obliques; Quadriceps; Pectoralis Major, Sternal; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long Head; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Weighted Lying Leg Raise,https://exrx.net/WeightExercises/HipFlexors/WtLyingLegRaise,Iliopsoas,Tensor Fasciae        Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,,Rectus Abdominis; Obliques; Quadriceps,,,Rectus Femoris,,,,,,,,,,,,,,,,,,,,,
Weighted Roman Chair Sit-up,https://exrx.net/WeightExercises/HipFlexors/WtRomanChairSitup,Iliopsoas,Tensor Fasciae          Latae; Rectus Femoris; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Seated Leg Raise,https://exrx.net/WeightExercises/HipFlexors/WtSeatedLegRaise,Iliopsoas,Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,Rectus Femoris,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Vertical Leg Raise,https://exrx.net/WeightExercises/HipFlexors/WtVerticalLegRaise,Iliopsoas,Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,Rectus Femoris,"Rectus Abdominis; Obliques; Latissimus Dorsi; Pectoralis Minor; Pectoralis Major, Sternal; Coracobrachialis; Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Weighted Vertical Leg Raise (on parallel bars),https://exrx.net/WeightExercises/HipFlexors/WtVerticalLegRaisePB,Iliopsoas,Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,Rectus Femoris,"Rectus Abdominis; Obliques; Latissimus Dorsi; Deltoid, Posterior; Pectoralis Minor; Pectoralis Major, Sternal; Deltoid, Anterior; Trapezius, Lower; Triceps Brachii; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Weighted Vertical Straight Leg Raise,https://exrx.net/WeightExercises/HipFlexors/WtVerticalStraightLegRaise,Iliopsoas,Tensor Fasciae Latae; Sartorius; Pectineus; Rectus Femoris; Adductor Longus; Adductor Brevis,,"Rectus Abdominis; Obliques; Quadriceps; Latissimus Dorsi; Pectoralis Minor; Pectoralis Major, Sternal; Coracobrachialis; Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Hanging Leg Raise,https://exrx.net/WeightExercises/HipFlexors/BWHangingLegRaise,Iliopsoas,Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,Rectus Femoris,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Hanging Straight Leg Raise,https://exrx.net/WeightExercises/HipFlexors/BWHangingStraightLegRaise,Iliopsoas,Tensor Fasciae        Latae; Sartorius; Pectineus; Rectus Femoris; Adductor Longus; Adductor Brevis,,Rectus Abdominis; Obliques; Quadriceps,,,,,,,,,,,,,,,,,,,,,,,,
Incline Leg Raise,https://exrx.net/WeightExercises/HipFlexors/BWInclineLegRaise,Iliopsoas,Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,Rectus Femoris,"Rectus Abdominis; Obliques; Pectoralis Major, Sternal; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long Head; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Incline Straight Leg Raise,https://exrx.net/WeightExercises/HipFlexors/BWInclineStraightLegRaise,Iliopsoas,Tensor Fasciae Latae; Sartorius; Pectineus; Rectus Femoris; Adductor Longus; Adductor Brevis,,"Rectus Abdominis; Obliques; Quadriceps; Pectoralis Major, Sternal; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long Head; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Lying Leg Raise (on bench),https://exrx.net/WeightExercises/HipFlexors/BWLyingLegRaise,Iliopsoas,Tensor Fasciae        Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,,Rectus Abdominis; Obliques; Quadriceps,,,Rectus Femoris,,,,,,,,,,,,,,,,,,,,,
Lying Leg Raise (on floor),https://exrx.net/WeightExercises/HipFlexors/BWLyingLegRaiseFloor,Iliopsoas,Tensor Fasciae        Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,,Rectus Abdominis; Obliques; Quadriceps,,,Rectus Femoris,,,,,,,,,,,,,,,,,,,,,
Lying Straight Leg Raise,https://exrx.net/WeightExercises/HipFlexors/BWStraightLegRaise,Iliopsoas,Tensor Fasciae        Latae; Sartorius; Pectineus; Rectus Femoris; Adductor Longus; Adductor Brevis,,Rectus Abdominis; Obliques; Quadriceps,,,,,,,,,,,,,,,,,,,,,,,,
Seated Leg Raise,https://exrx.net/WeightExercises/HipFlexors/BWSeatedLegRaise,Iliopsoas,Tensor Fasciae        Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,,Rectus Abdominis; Obliques,,,Rectus Femoris,,,,,,,,,,,,,,,,,,,,,
Vertical Leg Raise,https://exrx.net/WeightExercises/HipFlexors/BWVerticalLegRaise,Iliopsoas,Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,Rectus Femoris,"Rectus Abdominis; Obliques; Latissimus Dorsi; Pectoralis Minor; Pectoralis Major, Sternal; Coracobrachialis; Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Vertical Leg Raise (on parallel bars),https://exrx.net/WeightExercises/HipFlexors/BWVerticalLegRaisePB,Iliopsoas,Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,Rectus Femoris,"Rectus Abdominis; Obliques; Latissimus Dorsi; Deltoid, Posterior; Pectoralis Minor; Pectoralis Major, Sternal; Deltoid, Anterior; Trapezius, Lower; Triceps Brachii; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Vertical Straight Leg Raise,https://exrx.net/WeightExercises/HipFlexors/BWVerticalStraightLegRaise,Iliopsoas,Tensor Fasciae Latae; Sartorius; Pectineus; Rectus Femoris; Adductor Longus; Adductor Brevis,,"Rectus Abdominis; Obliques; Quadriceps; Latissimus Dorsi; Pectoralis Minor; Pectoralis Major, Sternal; Coracobrachialis; Trapezius, Lower",,,,,,,,,,,,,,,,,,,,,,,,
Roman Chair Sit-up,https://exrx.net/WeightExercises/HipFlexors/BWRomanChairSitup,Iliopsoas,Tensor Fasciae          Latae; Rectus Femoris; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Suspended Mountain Climber,https://exrx.net/WeightExercises/HipFlexors/STMountainClimber,Iliopsoas,Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis,Rectus Femoris,Rectus Abdominis; Obliques; Quadriceps; Pectoralis Major; Serratus Anterior; Triceps Brachii; Coracobrachialis,"Erector Spinae; Trapezius, Middle; Trapezius, Lower; Rhomboids",,,,,,,,,,,,,,,,,,,,,,,
Suspended Pike,https://exrx.net/WeightExercises/HipFlexors/STPike,Iliopsoas,Tensor Fasciae Latae; Pectineus; Sartorius; Adductor Longus; Adductor Brevis; Rectus Femoris,,"Rectus Abdominis; Obliques; Quadriceps; Pectoralis major; Deltoid, Anterior; Serratus Anterior; Trapezius, Upper; Trapezius, Middle; Trapezius, Lower; Triceps Brachii; Coracobrachialis","Erector Spinae; Trapezius, Middle; Trapezius, Lower; Rhomboids",,,,,,,,,,,,,,,,,,,,,,,
Cable Seated Hip External Rotation,https://exrx.net/WeightExercises/HipExternalRotator/CBSeatedHipExternalRotation,Hip External Rotators (listed below),"Gemellus superior; Gemellus inferior; Obturator internus; Obturator externus; Quadratus femoris; Gluteus maximus; Sartorius; Gluteus medius, posterior fibers",,"Adductors, Hip; Pectineus; Gracilis; Piriformis (opposite leg); Gluteus Maximus (opposite leg)",,,,,,,,,,,,,,,,,,,,,,,,
Lever Landmine Power Twist (plate loaded),https://exrx.net/WeightExercises/Power/LVPowerTwist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbell Front Raise,https://exrx.net/WeightExercises/DeltoidAnterior/BBFrontRaise,"Deltoid, Anterior","Pectoralis Major, Clavicular; Deltoid, Lateral; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations",,"Trapezius, Upper; Levator Scapulae; Wrist Extensors",,,,,,,,,,,,,,,,,,,,,,,,
Barbell Military Press,https://exrx.net/WeightExercises/DeltoidAnterior/BBMilitaryPress,"Deltoid, Anterior","Pectoralis Major, Clavicular; Triceps Brachii; Deltoid, Lateral; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations","Triceps, Long Head; Biceps Brachii, Short Head","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Barbell Seated Military Press,https://exrx.net/WeightExercises/DeltoidAnterior/BBSeatedMilitaryPress,"Deltoid, Anterior","Deltoid, Lateral; Supraspinatus; Triceps Brachii; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations","Triceps, Long Head","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Seated Front Raise,https://exrx.net/WeightExercises/DeltoidAnterior/CBSeatedFrontRaise,"Deltoid, Anterior","Pectoralis Major, Clavicular; Deltoid, Lateral; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations",,"Trapezius, Upper; Levator Scapulae; Wrist Extensors",,,,,,,,,,,,,,,,,,,,,,,,
Cable Alternating Isolateral Front Raise,https://exrx.net/WeightExercises/DeltoidAnterior/CBAlternatingFrontRaise,"Deltoid, Anterior","Pectoralis Major, Clavicular; Deltoid, Lateral; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations",,"Trapezius, Upper; Levator Scapulae; Wrist Extensors",,,,,,,,,,,,,,,,,,,,,,,,
Cable One Arm Front Raise,https://exrx.net/WeightExercises/DeltoidAnterior/CBFrontRaise,"Deltoid, Anterior","Pectoralis Major, Clavicular; Deltoid, Lateral; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations",,"Trapezius, Upper; Levator Scapulae; Wrist Extensors",,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Standing Shoulder Press,https://exrx.net/WeightExercises/DeltoidAnterior/CBStandingShoulderPress,"Deltoid, Anterior","Deltoid, Lateral; Supraspinatus; Triceps Brachii; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations","Triceps, Long Head","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Shoulder Press,https://exrx.net/WeightExercises/DeltoidAnterior/CBShoulderPress,"Deltoid, Anterior","Deltoid, Lateral; Supraspinatus; Triceps Brachii; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations","Triceps, Long Head","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Arnold Press,https://exrx.net/WeightExercises/DeltoidAnterior/DBArnoldPress,"Deltoid, Anterior","Deltoid, Lateral; Supraspinatus; Triceps Brachii; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations","Triceps, Long Head","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Front Raise,https://exrx.net/WeightExercises/DeltoidAnterior/DBFrontRaise,"Deltoid, Anterior","Pectoralis Major, Clavicular; Deltoid, Lateral; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations",,"Trapezius, Upper; Levator Scapulae; Wrist Extensors",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Alternating Front Raise,https://exrx.net/WeightExercises/DeltoidAnterior/DBAlternatingFrontRaise,"Deltoid, Anterior","Pectoralis Major, Clavicular; Deltoid, Lateral; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations",,"Trapezius, Upper; Levator Scapulae; Wrist Extensors",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Shoulder Press,https://exrx.net/WeightExercises/DeltoidAnterior/DBShoulderPress,"Deltoid, Anterior","Deltoid, Lateral; Supraspinatus; Triceps Brachii; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations; Pectoralis Major, Clavicular; Coracobrachialis","Triceps, Long Head; Biceps Brachii","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell One Arm Shoulder Press,https://exrx.net/WeightExercises/DeltoidAnterior/DBOneArmShoulderPress,"Deltoid, Anterior","Deltoid, Lateral; Supraspinatus; Triceps Brachii; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations; Pectoralis Major, Clavicular; Coracobrachialis; Obliques; Psoas major; Iliocastalis lumborum; Iliocastalis thoracis","Triceps, Long Head; Biceps Brachii","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Military Press (plate loaded),https://exrx.net/WeightExercises/DeltoidAnterior/LVMilitaryPressH,"Deltoid, Anterior","Pectoralis Major, Clavicular; Triceps Brachii; Deltoid, Lateral; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations","Triceps, Long Head; Biceps Brachii","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Lever Reclined Shoulder Press (plate loaded),https://exrx.net/WeightExercises/DeltoidAnterior/LVReclinedShoulderPressPL,"Deltoid, Anterior","Deltoid, Lateral; Supraspinatus; Triceps Brachii; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations","Triceps, Long Head; Biceps Brachii","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Shoulder Press (plate loaded),https://exrx.net/WeightExercises/DeltoidAnterior/LVShoulderPressH,"Deltoid, Anterior","Pectoralis Major, Clavicular; Triceps Brachii; Deltoid, Lateral; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations","Triceps, Long Head; Biceps Brachii","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Lever Reclined Shoulder Press,https://exrx.net/WeightExercises/DeltoidAnterior/LVReclinedShoulderPress,"Deltoid, Anterior","Deltoid, Lateral; Supraspinatus; Triceps Brachii; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations","Triceps, Long Head; Biceps Brachii","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Lever Shoulder Press,https://exrx.net/WeightExercises/DeltoidAnterior/LVShoulderPress,"Deltoid, Anterior","Deltoid, Lateral; Supraspinatus; Pectoralis Major, Clavicular; Triceps Brachii; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations","Triceps, Long Head; Biceps Brachii","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Lever Shoulder Press (parallel grip),https://exrx.net/WeightExercises/DeltoidAnterior/LVShoulderPressParGrip,"Deltoid, Anterior","Pectoralis Major, Clavicular; Triceps Brachii; Deltoid, Lateral; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations","Triceps, Long Head; Biceps Brachii","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Sled Shoulder Press,https://exrx.net/WeightExercises/DeltoidAnterior/SLShoulderPress,"Deltoid, Anterior","Deltoid, Lateral; Supraspinatus; Pectoralis Major, Clavicular; Triceps Brachii; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations","Triceps, Long Head; Biceps Brachii","Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
